job_id,job_name,job_exp,job_domain,job_working_hour,job_hiring_count,company_name,job_salary,is_work_Saturday,distance_to_work,has_DA_skills,has_scrum,has_sor,has_odoo,has_saas,has_ai
1751525477,Junior Business Analyst,2,IT,45.0,2,công ty tnhh giải pháp phân tích dữ liệu insight data,30.0,1,4.0,1,0,0,0,0,0
1751525484,Middle Business Analyst,3,IT,45.0,1,công ty cổ phần đầu tư nbg hightech,27.5,1,11.0,1,0,1,0,0,0
1751525491,Junior Business Analyst,2,IT,45.0,2,công ty tnhh dịch vụ phần mềm human offshore partners,24.0,1,12.0,1,0,0,0,0,0
1751525498,Fresher Business Analyst,1,Education,52.1,1,công ty cổ phần giáo dục logic lab,16.5,0,10.0,1,0,0,0,0,0
1751525504,Middle Business Analyst,3,IT,47.5,1,công ty cổ phần đầu tư và phát triển koolsoft,25.0,1,11.0,1,0,0,0,0,0
1751525511,Senior Business Analyst,5,Banking,51.0,1,ngân hàng tmcp việt nam thịnh vượng (vpbank),28.6,0,6.0,0,0,0,0,0,0
1751525518,Junior Business Analyst,2,Education,53.5,1,galaxy education joint stock company,18.5,0,7.0,0,0,0,0,0,0
1751525525,Senior Business Analyst,2,Others,46.1,1,công ty tnhh tm thiên thủy mộc,19.0,1,7.0,1,0,0,0,0,0
1751525531,Middle Business Analyst,3,Consulting,51.0,1,công ty cổ phần giải pháp thông minh linkcare,21.5,0,8.0,1,0,0,0,0,0
1751525538,Junior Business Analyst,2,IT,45.0,1,công ty cổ phần the first one,15.0,1,11.0,0,0,0,0,0,0
1751525545,Middle Business Analyst,3,IT,45.0,1,công ty tnhh infoplus,35.0,1,11.0,1,0,0,0,0,0
1751525551,Junior Business Analyst,2,Retail,51.0,2,công ty cổ phần công nghiệp weldcom,21.3,0,9.0,0,0,0,0,0,0
1751525558,Middle Business Analyst,3,IT,45.0,1,"techvify software., jsc",40.0,1,4.0,1,0,0,0,0,0
1751525565,Senior Business Analyst,5,IT,45.0,1,fpt is,28.6,1,11.0,0,0,0,0,0,0
1751525572,Fresher Business Analyst,1,IT,51.0,3,công ty cổ phần đầu tư và phát triển kztek,15.0,0,11.0,1,0,0,0,0,0
1751525598,Senior Business Analyst,5,Education,50.0,1,công ty cổ phần authentic education hub,30.0,1,11.0,1,0,0,0,0,0
